question,question_number,question_points,question_time,question_phrase
What is the capital of France?,1,5,30,"Capital of France?"
Who wrote 'Romeo and Juliet'?,2,5,30,"Author of Romeo and Juliet?"
What is the powerhouse of the cell?,3,5,30,"Powerhouse of the cell?"
What year did the Titanic sink?,4,5,30,"Year Titanic sank?"
How many continents are there?,5,5,30,"Number of continents?"
What is the chemical symbol for water?,6,5,30,"Chemical symbol for water?"
Who painted the Mona Lisa?,7,5,30,"Painter of Mona Lisa?"
What is the tallest mountain in the world?,8,5,30,"Tallest mountain in the world?"
Who invented the telephone?,9,5,30,"Inventor of the telephone?"
What is the largest mammal?,10,5,30,"Largest mammal?"